year,month,day,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,1,.00571,-.00286,.0714,.00286,.0214,-.00143,.000625
2020,2,24,2,.02,-.0241,.139,-.0206,-.0326,.0116,-.00907
2020,2,24,3,.04,.0271,.281,.0329,.0257,-.00857,.0147
2020,2,24,4,.0214,-.00714,.00286,-.00286,.0229,.00286,-.00206
2020,2,24,5,.0329,-.00143,.0386,.0471,.01,.00286,-.00461
2020,2,24,6,.00571,-.02,.0214,.00143,.0157,.00143,-.00332
2020,2,24,7,.0114,-.0129,.00857,-.01,.0314,-.00286,.00266
2020,2,24,8,.0229,-.00571,.0657,.0271,.00286,.00286,-.00501
2020,2,24,9,.0243,-.0114,.381,.0386,-.0343,0,.00142
2020,2,24,10,.00857,-.00286,-.0114,.0371,.0286,-.00286,.00397
2020,2,24,11,.00714,.0343,-.0386,-.0229,.0214,-.00143,.00361
2020,2,24,12,-.0114,-.0171,.167,-.0229,-.0271,.00429,-.00179
2020,2,24,13,.0486,.00429,.29,.124,.00286,.00286,.00223
2020,2,24,14,.04,.00714,.403,.0271,.03,-.00143,.00403
2020,2,24,15,.0357,.00429,.221,.03,.02,-.00286,.00622
2020,2,24,16,.0143,-.01,.00143,-.00571,.0343,.00143,-.000504
2020,2,24,17,-.00429,-.0186,.0514,.03,-.00143,.0143,-.0119
2020,2,24,18,.0457,-.00714,.233,.0343,.0229,-.00143,.00453
2020,2,24,19,.00429,-.0129,.0286,.0343,.0143,.00143,-.00107
2020,2,24,20,-.0257,.00143,.0743,-.0243,.0129,.00714,-.00781
2020,2,24,21,.00429,.00429,.124,-.00857,.0186,0,-3.16e-08
2020,2,24,22,.0186,.00143,-.219,.137,.0229,-.00429,.00559
2020,2,24,23,.0571,.00571,.189,.0271,.0329,-.00429,.00702
2020,2,24,24,.0557,.0114,.313,.0514,.02,-.00857,.0108
2020,2,24,25,.0186,-.0171,.174,-.00286,-.0171,.01,-.0073
2020,2,24,26,.0129,.00429,-.00143,2.66e-10,.0186,0,-.00162
2020,2,24,27,.0143,.05,.261,.0214,.0143,-.00143,.00483
2020,2,24,28,-.0243,.00286,-.12,.0257,.0214,.00429,-.00626
