year,month,day,statefips,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,1,.00286,-.00714,.0557,.06,.0129,.00857,-.00798
2020,2,24,2,.03,.00714,.0629,.0314,.0157,.00286,-.000578
2020,2,24,4,.0314,.00714,.0543,.04,.00286,.00429,-.00751
2020,2,24,5,.02,-.00286,.0286,.00429,.0157,.00143,-.00301
2020,2,24,6,.0129,.00286,.106,.00714,.0114,.00143,-.0025
2020,2,24,8,-.01,.00286,-.114,.01,.0143,.00714,-.00931
2020,2,24,9,.0386,-.0157,.257,.05,.00571,.00143,.00235
2020,2,24,10,.0371,.0129,.234,.07,.0286,-.00571,.0085
2020,2,24,11,-.0114,-.0329,.14,.00571,-.0143,.00714,-.00492
2020,2,24,12,.0271,.00714,.0943,.0343,.01,.00143,-.00138
2020,2,24,13,-.00571,-.0229,.0186,.0171,-.0114,.01,-.00781
2020,2,24,15,.0114,-.00571,.0814,.0257,.00714,.00143,-.00049
2020,2,24,16,.05,.0414,.246,.0743,.03,-.00714,.0102
2020,2,24,17,.0386,.0314,.246,.0371,.0271,-.00714,.0122
2020,2,24,18,.05,.01,.241,.0586,.0229,-.00429,.00761
2020,2,24,19,.0386,.1,.226,.00571,.0314,-.00857,.0135
2020,2,24,20,.0457,-.0114,.16,.0129,.03,-.00571,.00682
2020,2,24,21,.0171,.0171,.151,.03,.0229,0,.00314
2020,2,24,22,.0814,.0486,.177,.17,-.02,.00286,.00143
2020,2,24,23,.0486,.00143,.143,.114,-.0529,.0129,-.00888
2020,2,24,24,.0229,.00429,.221,.0214,.0286,-.00429,.00792
2020,2,24,25,.0286,-.0314,.201,.00143,-.0414,.01,-.0073
2020,2,24,26,.0329,-2.66e-10,.237,.0871,.0143,-.00143,.00665
2020,2,24,27,.0257,.02,.0643,.0471,.0171,-.00286,.00718
2020,2,24,28,.0129,.00571,.00143,.0529,.00143,.00714,-.00659
2020,2,24,29,.0529,.0214,.193,.0457,.06,-.00857,.0122
2020,2,24,30,.04,.0186,-.00286,.0414,.0214,-.00429,.00532
2020,2,24,31,.0486,.0271,.261,.0471,.02,-.00286,.00626
2020,2,24,32,.0243,.0129,.0957,.0357,.00714,0,.000402
2020,2,24,33,.0257,-.0243,.237,.177,.00143,.00429,-.000543
2020,2,24,34,.0243,-.00143,.329,.0243,.0157,0,.00263
2020,2,24,35,.03,.0414,.00429,.0286,.0229,-.00286,.00156
2020,2,24,36,.0314,-.0186,.153,-.0171,-.0371,.0114,-.009
2020,2,24,37,-.0143,-.0214,.0171,.0114,-.02,.0229,-.0225
2020,2,24,38,.0429,-.00429,.0886,.0629,.0229,-.00286,.00783
2020,2,24,39,.0357,.00429,.266,.0429,.0257,-.00286,.00622
2020,2,24,40,.0186,-.00286,-.02,.0243,.0171,.00143,-.003
2020,2,24,41,.0543,.0229,.36,.0529,.0214,-.00857,.0111
2020,2,24,42,.0371,.00429,.336,.0257,.0243,-.00143,.00403
2020,2,24,44,.0529,-.04,.421,.0186,-.0157,.00571,-.00288
2020,2,24,45,.00571,-.0114,-.0343,.0357,.01,.01,-.0078
2020,2,24,46,.0143,.0586,.141,.0271,.0243,-.00143,.00501
2020,2,24,47,.00286,-.00571,.0571,.0171,.0171,.00286,-.00105
2020,2,24,48,.01,0,-.04,.0171,.0229,0,.000851
2020,2,24,49,.0443,.0771,.21,.0386,.0286,-.00286,.00429
2020,2,24,50,.0586,.0157,.191,.109,-.02,.00571,-.00198
2020,2,24,51,.0114,.00714,.133,.0286,.0157,.00429,-.00161
2020,2,24,53,.0471,.00857,.383,.0543,-.00571,-.00571,.00718
2020,2,24,54,.0414,-.0157,.164,.0329,.02,.00143,.000899
2020,2,24,55,.04,.0329,.211,.0329,.0271,-.00429,.00944
2020,2,24,56,.0329,.0529,.0586,.0514,.0286,0,.000812
2020,2,25,1,.0186,.00143,.11,.0714,.01,.00571,-.00519
2020,2,25,2,.0414,.00857,.0629,.0243,.0229,0,.00221
2020,2,25,4,.0357,.00714,.0471,.0414,.00429,.00429,-.00751
2020,2,25,5,.0343,.00429,.0543,.0114,.0186,0,-.00162
2020,2,25,6,.0171,.00429,.111,.00714,.0157,0,-.00111
2020,2,25,8,-.00714,.00286,-.124,.00571,.0229,.00429,-.00652
2020,2,25,9,.0414,-.01,.283,.0514,.02,-.00286,.00653
2020,2,25,10,.0329,.00857,.174,.0543,.0271,-.00286,.00571
2020,2,25,11,0,-.0386,.134,.0171,-.00429,.00571,-.00352
2020,2,25,12,.0271,.00571,.0843,.0329,.0114,.00143,-.00138
2020,2,25,13,.00714,-.0129,.0643,.0171,-.00143,.00571,-.00363
2020,2,25,15,.0129,-.00286,.0871,.0186,.00857,.00143,-.00049
2020,2,25,16,.0571,.0443,.26,.0743,.0314,-.00857,.0116
2020,2,25,17,.0357,.0314,.234,.03,.0271,-.00571,.0108
2020,2,25,18,.0514,.0143,.231,.0571,.0229,-.00429,.00761
2020,2,25,19,.04,.0957,.229,.00143,.0314,-.00714,.0121
2020,2,25,20,.0443,-.0157,.136,.00571,.0314,-.00429,.00542
2020,2,25,21,.0286,.0286,.167,.0357,.0243,-.00143,.00453
2020,2,25,22,.1,.0557,.224,.2,-.0743,.01,-.00554
2020,2,25,23,.0671,.0114,.17,.117,-.03,.00571,-.0019
2020,2,25,24,.0214,0,.183,.0143,.03,-.00429,.00792
2020,2,25,25,.0371,-.0214,.244,.01,-.0229,.00571,-.00312
2020,2,25,26,.0414,.01,.246,.0914,.0257,-.00429,.00944
2020,2,25,27,.0357,.0243,.0814,.0471,.0214,-.00429,.00857
2020,2,25,28,.03,.01,.0386,.0671,-.00571,.00571,-.00519
2020,2,25,29,.0557,.0243,.18,.0414,.06,-.00857,.0122
2020,2,25,30,.0486,.0214,.0143,.0486,.0214,-.00429,.00532
2020,2,25,31,.0443,.02,.241,.0386,.0186,-.00143,.00487
2020,2,25,32,.0286,.0157,.0957,.0329,.00286,.00143,-.000993
2020,2,25,33,.0486,-.0129,.266,.174,-.0114,.00143,.00225
2020,2,25,34,.0214,-.00571,.309,.02,.02,-.00143,.00403
2020,2,25,35,.03,.0371,-.0214,.0286,.0229,-.00143,.000169
2020,2,25,36,.0329,-.0143,.157,-.0114,-.0186,.00714,-.00481
2020,2,25,37,-.00857,-.0214,.0214,.00857,-.0171,.0229,-.0225
2020,2,25,38,.0471,-.00286,.0929,.06,.0271,-.00429,.00922
2020,2,25,39,.0414,.00571,.26,.0443,.0257,-.00286,.00622
2020,2,25,40,.0243,0,-.02,.0257,.02,.00143,-.003
2020,2,25,41,.06,.0257,.363,.0514,.0229,-.01,.0125
2020,2,25,42,.0414,.00571,.32,.0243,.0257,-.00143,.00403
2020,2,25,44,.0586,-.0343,.463,.03,-2.66e-10,.00143,.0013
2020,2,25,45,.0157,-.00857,-.02,.0371,.0114,.00857,-.00641
2020,2,25,46,.00857,.0514,.124,.02,.0171,.00286,.000828
2020,2,25,47,.0186,.00286,.111,.0243,.02,0,.00175
