year,month,day_endofweek,engagement,badges,engagement_inchigh,badges_inchigh,engagement_inclow,badges_inclow,engagement_incmiddle,badges_incmiddle,break_engagement,break_badges,break_engagement_inchigh,break_badges_inchigh,break_engagement_inclow,break_badges_inclow,break_engagement_incmiddle,break_badges_incmiddle
2019,1,13,.0558,.126,.0533,.12,.0543,.122,.0557,.123,.,.,.,.,.,.,.,.
2019,1,20,.0437,.0699,.0266,.0491,.0441,.0613,.0476,.0774,.,.,.,.,.,.,.,.
2019,1,27,-.0314,-.115,-.033,-.104,-.0296,-.114,-.0343,-.116,.,.,.,.,.,.,.,.
2019,2,3,-.00863,-.000598,-.0177,-.0161,.00312,.0149,-.01,.00179,.,.,.,.,.,.,.,.
2019,2,10,.0439,.13,.0193,.0813,.0641,.155,.0413,.131,.,.,.,.,.,.,.,.
2019,2,17,-.011,.0219,-.0479,-.0267,.014,.0514,-.0141,.0198,.,.,.,.,.,.,.,.
2019,2,24,-.0624,-.0343,-.102,-.101,-.0457,-.0235,-.06,-.0229,.,.,.,.,.,.,.,.
2019,3,3,.0353,.159,.0161,.129,.0494,.165,.0342,.163,.,.,.,.,.,.,.,.
2019,3,10,.0108,.158,.0174,.161,.0244,.169,.00289,.152,.,.,.,.,.,.,.,.
2019,3,17,-.0163,.128,-.0359,.0909,-.0119,.134,-.0115,.134,.,.,.,.,.,.,.,.
2019,3,24,-.0536,.0962,-.0706,.061,-.0414,.106,-.054,.0961,.,.,.,.,.,.,.,.
2019,3,31,-.0896,.0651,-.0965,.0434,-.0867,.0784,-.091,.0582,.,.,.,.,.,.,.,.
2019,4,7,-.0808,.0762,-.0771,.0665,-.0777,.0858,-.0865,.067,.,.,.,.,.,.,.,.
2019,4,14,-.072,.0602,-.102,-.00271,-.0525,.0848,-.0729,.064,.,.,.,.,.,.,.,.
2019,4,21,-.205,-.139,-.219,-.188,-.196,-.115,-.208,-.137,.,.,.,.,.,.,.,.
2019,4,28,-.166,-.0819,-.17,-.106,-.144,-.0497,-.174,-.0888,.,.,.,.,.,.,.,.
2019,5,5,-.149,-.032,-.153,-.0525,-.12,.000962,-.167,-.0491,.,.,.,.,.,.,.,.
2019,5,12,.,.,.,.,.,.,.,.,-.161,-.067,-.172,-.114,-.141,-.0299,-.173,-.079
2019,5,19,.,.,.,.,.,.,.,.,-.226,-.144,-.235,-.177,-.201,-.111,-.24,-.16
2019,5,26,.,.,.,.,.,.,.,.,-.422,-.404,-.401,-.4,-.384,-.362,-.456,-.438
2019,6,2,.,.,.,.,.,.,.,.,-.633,-.653,-.619,-.658,-.616,-.641,-.657,-.668
2019,6,9,.,.,.,.,.,.,.,.,-.735,-.741,-.735,-.752,-.725,-.735,-.749,-.75
2019,6,16,.,.,.,.,.,.,.,.,-.85,-.855,-.855,-.863,-.84,-.843,-.855,-.861
2019,6,23,.,.,.,.,.,.,.,.,-.925,-.933,-.925,-.934,-.92,-.926,-.928,-.936
2019,6,30,.,.,.,.,.,.,.,.,-.977,-.983,-.972,-.98,-.974,-.982,-.98,-.985
2019,7,7,.,.,.,.,.,.,.,.,-.99,-.991,-.988,-.989,-.988,-.991,-.992,-.992
2019,7,14,.,.,.,.,.,.,.,.,-.987,-.988,-.986,-.986,-.986,-.987,-.989,-.989
2019,7,21,.,.,.,.,.,.,.,.,-.988,-.988,-.987,-.986,-.988,-.989,-.99,-.989
2019,7,28,.,.,.,.,.,.,.,.,-.989,-.989,-.986,-.986,-.988,-.989,-.991,-.991
2019,8,4,.,.,.,.,.,.,.,.,-.986,-.988,-.981,-.983,-.985,-.988,-.989,-.99
2019,8,11,.,.,.,.,.,.,.,.,-.944,-.968,-.959,-.973,-.941,-.965,-.942,-.969
2019,8,18,.,.,.,.,.,.,.,.,-.781,-.844,-.828,-.885,-.764,-.834,-.776,-.837
2019,8,25,.,.,.,.,.,.,.,.,-.57,-.62,-.598,-.659,-.554,-.599,-.565,-.616
2019,9,1,.,.,.,.,.,.,.,.,-.405,-.441,-.406,-.452,-.398,-.423,-.406,-.443
2019,9,8,.,.,.,.,.,.,.,.,-.324,-.401,-.297,-.38,-.335,-.401,-.325,-.408
2019,9,15,.,.,.,.,.,.,.,.,-.135,-.127,-.0925,-.0865,-.168,-.163,-.126,-.119
2019,9,22,-.0649,-.0209,-.0164,.02,-.106,-.065,-.0518,-.00476,.,.,.,.,.,.,.,.
2019,9,29,-.0317,.0336,.016,.0792,-.0719,-.0149,-.0181,.0508,.,.,.,.,.,.,.,.
2019,10,6,-.0341,.0296,.000959,.0586,-.0681,-.0201,-.0199,.0521,.,.,.,.,.,.,.,.
2019,10,13,-.0663,-.0419,-.014,-.0044,-.104,-.0856,-.0568,-.0262,.,.,.,.,.,.,.,.
2019,10,20,-.0742,-.0811,-.0349,-.0437,-.112,-.134,-.061,-.0631,.,.,.,.,.,.,.,.
2019,10,27,-.0337,-.00133,.00637,.0328,-.0611,-.052,-.0257,.02,.,.,.,.,.,.,.,.
2019,11,3,-.063,-.0495,-.0304,-.0355,-.0842,-.0909,-.0578,-.0298,.,.,.,.,.,.,.,.
